true_label,seed,B07,B08,B13,B14,B15,B18,B27,B35,B37,B38,B39,B40,B41,B44,B46,B49,B50,B51,B52,B53,B55,B56,B57,B58,B_Other
B41,44,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
B44,44,0,0,0,0,0,0,0,0,0,0,0,2,0,114,0,0,0,0,0,0,0,0,0,0,0
B46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,1,0,0,0
B49,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0
B50,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,2
B51,44,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,45,1,3,0,0,0,0,3
B52,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,28,0,0,0,0,0,0
B53,44,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,1
B55,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,8
B56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,3
B57,44,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
B58,44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,22,1
B_Other,44,0,0,0,5,0,0,1,0,0,0,8,4,0,5,0,0,0,0,0,0,1,0,0,0,35
B07,45,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
B08,45,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
B13,45,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,45,0,3,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B15,45,0,1,0,0,163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B18,45,0,0,0,0,1,24,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B27,45,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B35,45,0,0,0,0,0,0,0,130,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
B37,45,0,0,0,0,0,1,3,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
B38,45,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B39,45,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B40,45,0,0,0,0,4,1,1,2,0,0,0,116,0,1,0,0,0,0,0,0,0,0,0,0,1
B41,45,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
B44,45,0,0,1,0,1,0,0,2,0,0,0,3,1,72,0,3,0,0,1,1,0,0,0,1,1
B46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
